zipcode,price,sqft_lot,state
98034,305000.0,9480,WA
98058,166950.0,8820,WA
98040,799000.0,9897,WA
98133,400000.0,7508,WA
98155,230000.0,10228,WA
98023,256883.0,5025,WA
98108,423000.0,6480,WA
98126,465000.0,4084,WA
98024,440000.0,66211,WA
98038,385000.0,155073,WA
98056,210000.0,11725,WA
98042,297000.0,14952,WA
98107,470000.0,5000,WA
98023,226500.0,7370,WA
98059,274250.0,8450,WA
98040,840000.0,11010,WA
98052,677900.0,4587,WA
98116,425000.0,5864,WA
98166,180250.0,9600,WA
98133,464000.0,3404,WA
98038,320000.0,7579,WA
98105,625504.0,1566,WA
98074,592500.0,12032,WA
98001,465000.0,17936,WA
98118,477000.0,6270,WA
98168,280000.0,16400,WA
98040,1505000.0,33474,WA
98146,445838.0,5692,WA
98144,1072000.0,14864,WA
98177,467000.0,10800,WA
98075,686000.0,6440,WA
98198,279950.0,9750,WA
98011,527000.0,19436,WA
98030,325000.0,16020,WA
98038,328000.0,8379,WA
98146,390000.0,7500,WA
98053,479950.0,6516,WA
98023,264950.0,9753,WA
98031,235000.0,15246,WA
98053,516500.0,4729,WA
98166,655000.0,15798,WA
98059,500000.0,15347,WA
98023,315000.0,7350,WA
98024,213000.0,10200,WA
98108,475000.0,5280,WA
98033,1025000.0,28040,WA
98010,416000.0,94300,WA
98122,410000.0,4740,WA
98077,800000.0,221284,WA
98003,472000.0,14034,WA
98003,225000.0,8505,WA
98126,210000.0,6000,WA
98115,455000.0,5000,WA
98002,225000.0,8316,WA
98103,480000.0,3060,WA
98023,363000.0,11872,WA
98074,2400000.0,8354,WA
98106,181000.0,5120,WA
98002,250000.0,7312,WA
98103,481000.0,3000,WA
98032,260000.0,7209,WA
98058,455000.0,7685,WA
98045,415000.0,36224,WA
98118,349500.0,3538,WA
98030,245000.0,7442,WA
98115,592500.0,9191,WA
98106,385000.0,7620,WA
98059,315000.0,11455,WA
98045,255000.0,10170,WA
98052,693000.0,4425,WA
98112,780000.0,4400,WA
98198,237000.0,8470,WA
98074,525000.0,40510,WA
98144,425000.0,5040,WA
98070,369900.0,10079,WA
98031,290000.0,7280,WA
98106,285000.0,10701,WA
98115,415000.0,4500,WA
98023,272500.0,9900,WA
98004,2900000.0,20100,WA
98077,1365000.0,57346,WA
98133,436000.0,7538,WA
98003,210000.0,11390,WA
98178,236000.0,5898,WA
98199,331000.0,1306,WA
98031,365000.0,4510,WA
98058,450000.0,16258,WA
98028,770000.0,26300,WA
98038,455000.0,49375,WA
98118,405000.0,6000,WA
98031,304900.0,11325,WA
98178,170000.0,5265,WA
98122,2050000.0,8480,WA
98053,780000.0,7048,WA
98028,330000.0,13959,WA
98030,370000.0,8666,WA
98072,467000.0,13500,WA
98034,405000.0,6720,WA
98006,675000.0,10300,WA
98006,500000.0,14100,WA
98166,389999.0,15770,WA
98034,630000.0,9025,WA
98001,360000.0,9528,WA
98056,580000.0,11060,WA
98126,550000.0,4166,WA
98075,879000.0,22111,WA
98042,265000.0,8959,WA
98059,446500.0,7286,WA
98108,404000.0,8880,WA
98188,267500.0,11914,WA
98074,3075000.0,18641,WA
98003,335000.0,7632,WA
98117,576000.0,9000,WA
98038,208633.0,3810,WA
98166,315000.0,8750,WA
98112,725000.0,3300,WA
98177,550000.0,7750,WA
98074,610750.0,7297,WA
98105,550700.0,5000,WA
98056,665000.0,10574,WA
98144,834000.0,4000,WA
98065,201000.0,78408,WA
98119,2384000.0,9050,WA
98006,1384000.0,12103,WA
98006,1400000.0,12103,WA
98058,305000.0,7700,WA
98133,487000.0,14052,WA
98042,390000.0,64904,WA
98103,548000.0,3864,WA
98166,268750.0,8775,WA
98052,819900.0,7119,WA
98027,520000.0,16200,WA
98001,230000.0,11204,WA
98023,240000.0,10248,WA
98146,232000.0,12092,WA
98146,240500.0,12092,WA
98077,274975.0,45004,WA
98102,740000.0,4400,WA
98166,186375.0,7636,WA
98005,790000.0,10289,WA
98105,880000.0,6750,WA
98198,279000.0,11180,WA
98022,295000.0,10530,WA
98103,640000.0,5000,WA
98040,940000.0,9525,WA
98038,260000.0,5238,WA
98072,559900.0,5569,WA
98103,791500.0,3500,WA
98133,265000.0,8250,WA
98178,245000.0,11547,WA
98052,485000.0,43995,WA
98059,684000.0,8414,WA
98125,425000.0,6840,WA
98070,309600.0,20000,WA
98065,552250.0,5823,WA
98178,165000.0,7134,WA
98178,239900.0,7134,WA
98059,320000.0,32633,WA
98030,206600.0,13464,WA
98155,387000.0,7690,WA
98014,299000.0,12120,WA
98040,855000.0,10460,WA
98166,315000.0,14400,WA
98103,437500.0,3120,WA
98001,252000.0,19800,WA
98118,375000.0,7475,WA
98038,300000.0,4862,WA
98006,420000.0,9600,WA
98033,900000.0,77972,WA
98116,679900.0,5750,WA
98053,463000.0,29970,WA
98059,380000.0,11340,WA
98038,329500.0,7912,WA
98033,604950.0,5608,WA
98006,795000.0,9570,WA
98045,465000.0,40438,WA
98166,673000.0,10400,WA
98074,810000.0,15420,WA
98075,785000.0,69415,WA
98056,338000.0,7500,WA
98056,280000.0,7222,WA
98133,315000.0,10754,WA
98133,530000.0,10754,WA
98023,380000.0,9914,WA
98056,297000.0,7562,WA
98075,730000.0,7331,WA
98125,450000.0,13500,WA
98038,275000.0,7750,WA
98115,595000.0,2849,WA
98144,435000.0,3348,WA
98011,270000.0,209959,WA
98077,950000.0,14338,WA
98019,389000.0,5337,WA
98052,560000.0,7800,WA
98006,1350000.0,14984,WA
98040,799000.0,11585,WA
98072,365500.0,9600,WA
98058,252350.0,7352,WA
98146,403950.0,13780,WA
98177,385000.0,10726,WA
98106,345000.0,7620,WA
98008,490000.0,3128,WA
98019,330000.0,26977,WA
98004,927000.0,12090,WA
98040,1118000.0,16619,WA
98028,330000.0,10000,WA
98008,530000.0,8800,WA
98006,365000.0,25600,WA
98118,378750.0,3000,WA
98058,269900.0,8750,WA
98122,557000.0,2096,WA
98022,360000.0,16980,WA
98117,352000.0,5000,WA
98045,437000.0,22357,WA
98038,322500.0,6753,WA
98116,650000.0,2000,WA
98103,450000.0,1213,WA
98092,278500.0,5250,WA
98055,364950.0,6957,WA
98038,840000.0,40139,WA
98031,268000.0,8134,WA
98070,517534.0,143947,WA
98077,632925.0,32239,WA
98034,577500.0,7251,WA
98178,339000.0,7480,WA
98052,570000.0,37461,WA
98024,563500.0,174240,WA
98133,423000.0,9351,WA
98019,355000.0,5028,WA
98024,1550000.0,171626,WA
98103,482000.0,3960,WA
98006,625000.0,9135,WA
98056,538000.0,11632,WA
98058,380000.0,10255,WA
98122,375000.0,5120,WA
98038,245000.0,8500,WA
98166,310000.0,27260,WA
98004,1300000.0,15021,WA
98034,397000.0,7680,WA
98058,365000.0,4052,WA
98042,328500.0,8250,WA
98052,988000.0,19700,WA
98103,1000000.0,3277,WA
98055,237000.0,2138,WA
98011,525000.0,5280,WA
98006,749000.0,9627,WA
98074,722500.0,11800,WA
98052,843000.0,8750,WA
98115,438000.0,1372,WA
98146,578000.0,10875,WA
98001,227950.0,8230,WA
98001,196000.0,11576,WA
98105,641000.0,5332,WA
98038,350000.0,219978,WA
98032,205000.0,7980,WA
98072,400000.0,9102,WA
98027,1030000.0,9816,WA
98034,505000.0,5460,WA
98034,475000.0,7200,WA
98028,520000.0,9263,WA
98034,1450000.0,24920,WA
98011,333500.0,9732,WA
98038,232000.0,10403,WA
98006,691100.0,16117,WA
98040,811000.0,9897,WA
98028,551000.0,5802,WA
98072,496500.0,3640,WA
98070,705000.0,20978,WA
98055,578000.0,9225,WA
98042,255000.0,8659,WA
98006,1050000.0,7832,WA
98042,348000.0,8491,WA
98031,230000.0,3413,WA
98023,359500.0,11250,WA
98133,330000.0,7000,WA
98014,80000.0,5050,WA
98133,465000.0,6360,WA
98042,325000.0,7324,WA
98168,340500.0,28025,WA
98038,342500.0,5192,WA
98178,290900.0,17600,WA
98074,868700.0,6161,WA
98125,1199000.0,8400,WA
98074,1150000.0,10259,WA
98074,859900.0,6298,WA
98029,520000.0,3006,WA
98118,460000.0,2527,WA
98115,438924.0,4590,WA
98126,315000.0,6550,WA
98033,590000.0,10650,WA
98006,378500.0,8640,WA
98042,328500.0,8130,WA
98005,849950.0,9773,WA
98136,525000.0,6000,WA
98074,1385000.0,181319,WA
98023,295000.0,7725,WA
98006,1067000.0,11793,WA
98118,207950.0,5000,WA
98075,699900.0,7302,WA
98027,1280000.0,9500,WA
98052,452000.0,7350,WA
98055,370000.0,5036,WA
98042,232000.0,11230,WA
98034,669950.0,14062,WA
98034,397500.0,6710,WA
98112,490000.0,1391,WA
98116,725000.0,4140,WA
98032,299000.0,19635,WA
98116,625000.0,5750,WA
98065,437500.0,4500,WA
98065,650000.0,5438,WA
98117,475000.0,3825,WA
98042,342000.0,11947,WA
98033,1197350.0,7800,WA
98055,280000.0,11610,WA
98188,240000.0,7200,WA
98107,529000.0,3328,WA
98136,442000.0,5100,WA
98119,615000.0,6872,WA
98033,1485000.0,10800,WA
98052,585000.0,7559,WA
98059,480000.0,7787,WA
98053,1095000.0,57063,WA
98133,290000.0,8184,WA
98116,615000.0,5000,WA
98133,300000.0,7680,WA
98030,308000.0,39150,WA
98033,750000.0,7745,WA
98112,2250000.0,8036,WA
98059,890000.0,194278,WA
98058,288000.0,7560,WA
98178,190000.0,6000,WA
98133,515000.0,5105,WA
98055,235000.0,11054,WA
98126,275000.0,5000,WA
98004,727500.0,9119,WA
98053,650000.0,6587,WA
98024,1600000.0,230652,WA
98125,365000.0,7085,WA
98052,662000.0,36947,WA
98038,270500.0,7848,WA
98092,200000.0,1898,WA
98075,970000.0,76230,WA
98198,160000.0,9600,WA
98010,204000.0,7405,WA
98058,358000.0,6655,WA
98011,452000.0,8268,WA
98103,595000.0,4000,WA
98042,249000.0,6082,WA
98055,346900.0,5106,WA
98166,2125000.0,24069,WA
98056,280000.0,4350,WA
98032,318888.0,12000,WA
98075,530000.0,40518,WA
98031,375000.0,18500,WA
98052,910000.0,29242,WA
98006,782000.0,9614,WA
98106,259950.0,649,WA
98058,315000.0,18360,WA
98168,215000.0,8865,WA
98040,705000.0,10221,WA
98199,1450000.0,6320,WA
98155,451000.0,9813,WA
98055,261000.0,8125,WA
98028,396000.0,8280,WA
98059,725000.0,29170,WA
98040,1950000.0,15235,WA
98188,238000.0,7242,WA
98052,750000.0,9563,WA
98042,331500.0,10271,WA
98065,460000.0,108900,WA
98092,404950.0,217014,WA
98103,880000.0,5163,WA
98074,863000.0,22370,WA
98005,638700.0,9162,WA
98053,435000.0,5680,WA
98178,260000.0,5350,WA
98105,671500.0,4000,WA
98109,610000.0,3400,WA
98014,405000.0,15029,WA
98038,338900.0,5612,WA
98075,720000.0,7708,WA
98108,442000.0,5445,WA
98122,650000.0,5040,WA
98058,263500.0,9917,WA
98038,300000.0,75794,WA
98002,266000.0,3402,WA
98077,930000.0,84942,WA
98028,530000.0,5493,WA
98023,180000.0,8960,WA
98065,619000.0,6439,WA
98003,264000.0,10608,WA
98116,730000.0,4920,WA
98034,439000.0,10070,WA
98031,268500.0,7500,WA
98045,330000.0,15744,WA
98122,640000.0,4000,WA
98074,900000.0,12600,WA
98038,370000.0,13300,WA
98144,685000.0,2900,WA
98053,505000.0,217800,WA
98022,265000.0,32666,WA
98055,290000.0,2937,WA
98038,296000.0,3600,WA
98178,360000.0,9611,WA
98168,240500.0,10584,WA
98126,372500.0,2958,WA
98045,595000.0,14402,WA
98023,515000.0,8249,WA
98040,1220000.0,15367,WA
98053,507000.0,6460,WA
98092,399950.0,31465,WA
98010,185000.0,10816,WA
98052,460000.0,7070,WA
98029,435500.0,4789,WA
98188,469000.0,13938,WA
98103,531000.0,1175,WA
98177,443500.0,6804,WA
98042,223000.0,6824,WA
98028,590000.0,15842,WA
98103,340000.0,1760,WA
98199,650000.0,3388,WA
98029,533600.0,5080,WA
98074,695000.0,4694,WA
98031,242000.0,7524,WA
98125,425000.0,8814,WA
98052,525000.0,9414,WA
98029,485000.0,5502,WA
98045,175000.0,9775,WA
98092,210000.0,7210,WA
98031,260000.0,7415,WA
98116,577000.0,5750,WA
98002,200000.0,10588,WA
98117,605000.0,5000,WA
98133,325000.0,6750,WA
98178,289500.0,6400,WA
98144,559950.0,1458,WA
98115,1042500.0,9375,WA
98199,543500.0,2790,WA
98042,480000.0,34293,WA
98022,218000.0,9633,WA
98199,565000.0,6000,WA
98056,426700.0,7700,WA
98028,650000.0,11575,WA
98105,542000.0,3060,WA
98052,415000.0,8000,WA
98002,214000.0,8316,WA
98188,245000.0,8910,WA
98003,314500.0,13303,WA
98116,1120000.0,5750,WA
98136,378000.0,3850,WA
98001,305000.0,9091,WA
98028,595000.0,6750,WA
98116,729500.0,1091,WA
98065,430000.0,6699,WA
98038,240000.0,6500,WA
98136,545000.0,6200,WA
98105,530000.0,2500,WA
98198,157000.0,26326,WA
98146,425000.0,7645,WA
98166,220000.0,6020,WA
98077,521000.0,36400,WA
98118,325000.0,6862,WA
98126,597500.0,5400,WA
98065,337000.0,3976,WA
98052,1000000.0,10492,WA
98034,3070000.0,55867,WA
98105,495000.0,6000,WA
98052,748000.0,3330,WA
98004,888000.0,8710,WA
98045,269900.0,22267,WA
98027,496500.0,14440,WA
98155,475000.0,5097,WA
98125,312000.0,1374,WA
98072,323000.0,12231,WA
98059,331000.0,9079,WA
98133,306000.0,1086,WA
98117,655000.0,4000,WA
98003,290000.0,15954,WA
98105,1250000.0,5000,WA
98115,460000.0,4708,WA
98115,435000.0,6380,WA
98006,664000.0,11880,WA
98102,865000.0,4180,WA
98058,385000.0,18000,WA
98034,497000.0,9315,WA
98045,280000.0,3000,WA
98178,188000.0,17487,WA
98136,478500.0,4755,WA
98065,1145000.0,18361,WA
98023,222000.0,7187,WA
98053,799000.0,209523,WA
98038,609900.0,7399,WA
98106,413000.0,5809,WA
98115,400000.0,4875,WA
98006,802541.0,6768,WA
98023,320000.0,7757,WA
98065,507000.0,7649,WA
98115,387500.0,8329,WA
98072,396000.0,12616,WA
98055,373000.0,11788,WA
98040,1484900.0,19252,WA
98058,359900.0,7698,WA
98115,410000.0,4342,WA
98053,690000.0,23488,WA
98030,245000.0,5760,WA
98075,700000.0,25958,WA
98198,268000.0,9966,WA
98042,225000.0,26055,WA
98004,980000.0,11034,WA
98106,795000.0,5000,WA
98118,195000.0,5100,WA
98005,480000.0,10575,WA
98119,485000.0,3600,WA
98188,130000.0,9000,WA
98198,325000.0,5703,WA
98034,440000.0,7245,WA
98155,550000.0,14782,WA
98059,310000.0,7150,WA
98022,530000.0,39478,WA
98031,390000.0,8548,WA
98001,243000.0,12125,WA
98074,639000.0,9875,WA
98003,215000.0,7400,WA
98011,405000.0,10500,WA
98032,250000.0,7140,WA
98155,405500.0,8108,WA
98125,452000.0,13579,WA
98125,730000.0,13579,WA
98010,267000.0,9644,WA
98038,289950.0,6186,WA
98103,565000.0,4080,WA
98005,1578000.0,51836,WA
98052,636000.0,2770,WA
98178,350000.0,5500,WA
98058,320000.0,9380,WA
98198,210000.0,5680,WA
98126,245000.0,5900,WA
98059,328000.0,7650,WA
98077,985000.0,37769,WA
98055,501000.0,7972,WA
98045,315000.0,17424,WA
98019,403000.0,8354,WA
98155,550000.0,17950,WA
98030,347500.0,3562,WA
98058,365000.0,8893,WA
98117,588000.0,8167,WA
98006,605000.0,7400,WA
98105,1300000.0,5979,WA
98001,233000.0,9177,WA
98030,360000.0,17715,WA
98117,459000.0,4887,WA
98077,740000.0,72745,WA
98077,305000.0,9750,WA
98117,395000.0,4000,WA
98011,560000.0,6000,WA
98116,650000.0,5070,WA
98028,449950.0,4912,WA
98117,517500.0,5200,WA
98034,435000.0,6460,WA
98155,329999.0,6908,WA
98116,950000.0,4200,WA
98108,447000.0,6001,WA
98053,699800.0,6600,WA
98112,850000.0,3850,WA
98023,316500.0,14250,WA
98006,942500.0,9612,WA
98116,1310000.0,3938,WA
98005,856600.0,13430,WA
98118,405600.0,4000,WA
98053,565000.0,22594,WA
98116,400000.0,1149,WA
98019,330000.0,218252,WA
98038,374950.0,4683,WA
98056,405300.0,7939,WA
98074,560000.0,31400,WA
98004,824000.0,9864,WA
98042,260000.0,10968,WA
98115,760000.0,6099,WA
98023,405000.0,12750,WA
98058,429900.0,8625,WA
98056,341500.0,7223,WA
98177,465250.0,7642,WA
98117,450000.0,3000,WA
98006,390000.0,10800,WA
98008,420000.0,8030,WA
98168,269950.0,4838,WA
98122,493000.0,2874,WA
98092,370000.0,5880,WA
98112,2250000.0,9453,WA
98059,305000.0,23680,WA
98034,400000.0,8219,WA
98133,320000.0,1221,WA
98103,715000.0,4800,WA
98008,650000.0,10003,WA
98023,218000.0,8040,WA
98117,500000.0,5400,WA
98027,460000.0,40419,WA
98003,232500.0,9887,WA
98106,408200.0,5761,WA
98052,522000.0,8400,WA
98074,675000.0,11120,WA
98006,1355000.0,11000,WA
98168,249950.0,7980,WA
98168,210000.0,34133,WA
98133,429950.0,7216,WA
98053,737500.0,36276,WA
98033,710000.0,9000,WA
98065,470000.0,4700,WA
98077,1100000.0,40097,WA
98103,650000.0,2720,WA
98006,1216000.0,8684,WA
98034,422120.0,4534,WA
98011,625000.0,15085,WA
98126,385200.0,7740,WA
98029,500000.0,4964,WA
98042,308000.0,12243,WA
98006,565000.0,9966,WA
98053,581000.0,4438,WA
98042,361000.0,8698,WA
98008,345000.0,7210,WA
98122,419000.0,1253,WA
98056,347000.0,4308,WA
98075,625000.0,36085,WA
98040,2400000.0,15188,WA
98010,379000.0,17852,WA
98029,310000.0,3323,WA
98030,250000.0,5500,WA
98059,682000.0,5000,WA
98022,246500.0,8919,WA
98092,325000.0,57381,WA
98031,310950.0,4997,WA
98199,1100000.0,5000,WA
98133,287500.0,7200,WA
98133,431000.0,7200,WA
98118,226000.0,5000,WA
98103,825000.0,3090,WA
98168,175000.0,6030,WA
98008,465750.0,10350,WA
98075,659000.0,24931,WA
98115,595000.0,5753,WA
98058,350000.0,16290,WA
98023,270000.0,8600,WA
98008,662500.0,25600,WA
98001,249900.0,14000,WA
98023,324500.0,11340,WA
98053,430000.0,4003,WA
98053,419950.0,4003,WA
98032,285000.0,7440,WA
98092,332000.0,7780,WA
98168,282000.0,10725,WA
98133,320000.0,5175,WA
98006,428750.0,30736,WA
98022,330000.0,35287,WA
98177,456500.0,2309,WA
98059,352000.0,11050,WA
98105,664000.0,4080,WA
98011,628000.0,11894,WA
98052,512000.0,12555,WA
98023,254000.0,9000,WA
98029,535800.0,5790,WA
98038,287653.0,16050,WA
98136,438000.0,1304,WA
98028,450000.0,23899,WA
98092,327000.0,8050,WA
98059,370500.0,6120,WA
98038,265000.0,6271,WA
98056,450000.0,13260,WA
98027,425000.0,213444,WA
98042,166600.0,8690,WA
98168,245000.0,15000,WA
98115,565000.0,5212,WA
98033,539900.0,10150,WA
98144,910000.0,3200,WA
98092,280000.0,7416,WA
98038,275000.0,8549,WA
98056,467000.0,6590,WA
98029,457500.0,4445,WA
98118,381156.0,3090,WA
98092,289999.0,8240,WA
98144,642450.0,4160,WA
98007,469950.0,8701,WA
98033,795000.0,13650,WA
98074,785000.0,10514,WA
98006,860000.0,12095,WA
98102,1095000.0,4764,WA
98031,147500.0,8498,WA
98011,390000.0,11576,WA
98198,229000.0,8100,WA
98168,185000.0,8100,WA
98115,414900.0,9570,WA
98136,200000.0,4822,WA
98092,225000.0,9350,WA
98105,720000.0,4000,WA
98119,930000.0,4000,WA
98004,1270000.0,17204,WA
98122,700000.0,3118,WA
98103,466000.0,1058,WA
98011,374000.0,10640,WA
98072,480000.0,10035,WA
98053,740000.0,25341,WA
98102,1010000.0,5400,WA
98042,395000.0,5000,WA
98106,340000.0,6771,WA
98106,209000.0,1340,WA
98007,431650.0,7700,WA
98040,980000.0,11470,WA
98077,660000.0,28243,WA
98033,730000.0,9009,WA
98042,291500.0,9600,WA
98040,905000.0,14486,WA
98077,800000.0,50308,WA
98056,839900.0,13592,WA
98126,200000.0,1157,WA
98058,300000.0,6698,WA
98115,530000.0,6041,WA
98038,314950.0,8479,WA
98031,255000.0,9315,WA
98144,550000.0,5720,WA
98136,435000.0,4800,WA
98002,234000.0,8738,WA
98052,615000.0,10062,WA
98001,205000.0,8384,WA
98106,384000.0,7135,WA
98055,324000.0,7208,WA
98115,645000.0,5500,WA
98107,570000.0,1777,WA
98031,324000.0,5322,WA
98106,270000.0,10320,WA
98058,290000.0,7700,WA
98198,250000.0,9220,WA
98014,342000.0,16275,WA
98188,255000.0,8450,WA
98040,800000.0,11824,WA
98126,451000.0,4049,WA
98033,990000.0,10480,WA
98031,288400.0,6687,WA
98118,420000.0,4600,WA
98133,359000.0,1140,WA
98058,390000.0,262018,WA
98118,300000.0,2614,WA
98034,545000.0,7863,WA
98010,288349.0,18616,WA
98092,299900.0,35026,WA
98117,891000.0,5000,WA
98117,1200000.0,22410,WA
98038,378000.0,4650,WA
98155,299995.0,7200,WA
98042,253000.0,6564,WA
98024,350000.0,47916,WA
98107,565000.0,4300,WA
98118,315000.0,5665,WA
98136,570000.0,6766,WA
98125,971000.0,10140,WA
98112,915000.0,5589,WA
98166,419000.0,23568,WA
98023,260000.0,7480,WA
98004,1321500.0,12968,WA
98045,369950.0,10720,WA
98006,1029900.0,13384,WA
98118,435000.0,6750,WA
98125,601000.0,6743,WA
98033,460500.0,10650,WA
98103,720000.0,1159,WA
98075,851000.0,13202,WA
98126,550000.0,5000,WA
98103,700000.0,4560,WA
98042,323000.0,14850,WA
98177,345500.0,8581,WA
98118,378000.0,7920,WA
98116,650000.0,5000,WA
98074,385000.0,7380,WA
98102,425000.0,2970,WA
98022,210000.0,6174,WA
98077,630000.0,43101,WA
98146,335000.0,7500,WA
98001,196500.0,9000,WA
98074,582800.0,7636,WA
98034,440000.0,7207,WA
98033,752500.0,8616,WA
98116,532500.0,5000,WA
98198,265000.0,9000,WA
98125,397500.0,13737,WA
98029,524250.0,3469,WA
98027,765000.0,10819,WA
98074,648000.0,5450,WA
98031,469500.0,24759,WA
98023,237500.0,7854,WA
98003,216000.0,8712,WA
98056,427200.0,8400,WA
98055,280000.0,7800,WA
98006,718000.0,9804,WA
98065,420000.0,4139,WA
98117,379000.0,5400,WA
98177,326100.0,7683,WA
98115,535000.0,1016,WA
98022,283000.0,8560,WA
98168,260000.0,7469,WA
98126,399000.0,6388,WA
98029,484950.0,5004,WA
98005,640000.0,9828,WA
98115,585000.0,8158,WA
98125,645000.0,11583,WA
